VOC.VOI,Lineages
"Alpha","B.1.1.7"
"Alpha","Q.*"
"Beta","B.1.351.*"
"Gamma","P.1.*"
"Epsilon","B.1.427.*"
"Epsilon","B.1.429.*"
"Eta","B.1.525.*"
"Iota","B.1.526.*"
"Kappa","B.1.617.1.*"
"Mu","B.1.621.*"
"Mu","B.1.621.1.*"
"Mu","BB.2.*"
"Zeta","P.2.*"
"Delta","B.1.617.2.*"
"Omicron","B.1.1.529.*"
"Delta","AY.*"
"Lambda","C.37.*"
"Omicron","BA.*"
"NO VOC-VOI","BB.*"
"NO VOC-VOI","A.1.*"
"NO VOC-VOI","A.2.*"
"NO VOC-VOI","A.3.*"
"NO VOC-VOI","A.4.*"
"NO VOC-VOI","A.5.*"
"NO VOC-VOI","B.1.*"
"NO VOC-VOI","B.2.*"
"NO VOC-VOI","B.3.*"
"NO VOC-VOI","C.1.*"
"NO VOC-VOI","C.2.*"
"NO VOC-VOI","C.3.*"
"NO VOC-VOI","C.4.*"
"NO VOC-VOI","C.5.*"
"NO VOC-VOI","C.6.*"
"NO VOC-VOI","XB.*"
"NO VOC-VOI","None.*"
"NO VOC-VOI","N.4.*"
"NO VOC-VOI","\<A\>"
"NO VOC-VOI","\<B\>"
